Row,Name,Synonym,Mol. form.,CAS Reg. No.,Beilstein Reg. No.,Mol. wt.,Physical form,mp/º﻿C,bp/º﻿C,Other bp/º﻿C,den/g cm<sup>-3</sup>,<i>n</i><sub>D</sub>,<i>s</i>/g  kg<sup>-1</sup>,vp/kPa (25 °﻿C),Solubility
306,"4-(2-Aminoethyl)-1,2-benzenediol, hydrochloride","Dopamine hydrochloride","C<sub>8</sub>H<sub>12</sub>ClNO<sub>2</sub>","62-31-7",3656720,"189.640","nd (w)","241 dec",,,,,,,"vs H<sub>2</sub>O, MeOH",
307,"α-(1-Aminoethyl)benzenemethanol, [<i>S</i>-(<i>R</i>*,<i>R</i>*)]-",,"C<sub>9</sub>H<sub>13</sub>NO","492-39-7",2802895,"151.205","pl(MeOH)","77.5",,,,,,,"vs eth, EtOH, chl",
308,"α-(1-Aminoethyl)benzenemethanol, hydrochloride",,"C<sub>9</sub>H<sub>14</sub>ClNO","53631-70-2",3656420,"187.666",,"198.5",,,,,,,"s H<sub>2</sub>O",
309,"<i>N</i>-(2-Aminoethyl)ethanolamine",,"C<sub>4</sub>H<sub>12</sub>N<sub>2</sub>O","111-41-1",506012,"104.150",,,"242(5)","105<sup>10</sup>","1.0286<sup>20</sup>","1.4863<sup>20</sup>",,,"msc H<sub>2</sub>O, EtOH; s ace; sl bz, lig",
310,"4-(2-Aminoethyl)phenol","Tyramine","C<sub>8</sub>H<sub>11</sub>NO","51-67-2",1099914,"137.179","pl or nd (bz, w), cry (al)","164.5",,"206<sup>25</sup>",,,"10.4<sup>15</sup>",,"sl H<sub>2</sub>O, bz, DMSO; s EtOH, xyl; i tol",
311,"<i>N</i>-(2-Aminoethyl)-1,3-propanediamine","<i>N</i>-(3-Aminopropyl)ethylenediamine","C<sub>5</sub>H<sub>15</sub>N<sub>3</sub>","13531-52-7",2203013,"117.193",,,,"87<sup>3</sup>",,"1.4805<sup>25</sup>",,,,
312,"2-Amino-2-ethyl-1,3-propanediol",,"C<sub>5</sub>H<sub>13</sub>NO<sub>2</sub>","115-70-8",635714,"119.163",,"37.5",,"152<sup>10</sup>","1.099<sup>20</sup>","1.490<sup>20</sup>",,,"msc H<sub>2</sub>O",
313,"<small>L</small>-2-Aminohexanedioic acid","2-Aminoadipic acid","C<sub>6</sub>H<sub>11</sub>NO<sub>4</sub>","542-32-5",,"161.156","cry (EtOH, w)","205 dec",,,,,,,"sl H<sub>2</sub>O, EtOH, eth",
314,"6-Aminohexanenitrile","5-Cyano-1-pentylamine","C<sub>6</sub>H<sub>12</sub>N<sub>2</sub>","2432-74-8",,"112.172","liq",,,"118<sup>16</sup>",,,,,,
315,"6-Aminohexanoic acid","ε-Aminocaproic acid","C<sub>6</sub>H<sub>13</sub>NO<sub>2</sub>","60-32-2",906872,"131.173","lf (eth)",205,,,,,"852<sup>25</sup>",,"vs H<sub>2</sub>O; i EtOH; sl MeOH",
316,"6-Amino-1-hexanol",,"C<sub>6</sub>H<sub>15</sub>NO","4048-33-3",1732524,"117.189",,57,,"137<sup>30</sup>",,,,,,
317,"1-Amino-4-hydroxy-9,10-anthracenedione",,"C<sub>14</sub>H<sub>9</sub>NO<sub>3</sub>","116-85-8",2216557,"239.226",,"216.5",,,,,,,"s EtOH, ace",
318,"3-Amino-4-hydroxybenzenesulfonic acid",,"C<sub>6</sub>H<sub>7</sub>NO<sub>4</sub>S","98-37-3",514765,"189.190","orth (w+1)",">300",,,,,,,"sl H<sub>2</sub>O; i EtOH, eth",
319,"4-Amino-2-hydroxybenzohydrazide","<i>p</i>-Aminosalicylic acid hydrazide","C<sub>7</sub>H<sub>9</sub>N<sub>3</sub>O<sub>2</sub>","6946-29-8",2965831,"167.165","nd (al)",195,,,,,,,"vs EtOH",
320,"2-Amino-3-hydroxybenzoic acid",,"C<sub>7</sub>H<sub>7</sub>NO<sub>3</sub>","548-93-6",973356,"153.136","lf (w)","253.5",,,,,,,"sl H<sub>2</sub>O; s EtOH, eth, chl",
321,"4-Amino-2-hydroxybenzoic acid","<i>p</i>-Aminosalicylic acid","C<sub>7</sub>H<sub>7</sub>NO<sub>3</sub>","65-49-6",473071,"153.136","nd, pl (al-eth)","150 dec",,,,,"2.0<sup>20</sup>",,"s H<sub>2</sub>O, EtOH, eth, ace; i bz, peth, chl",
322,"5-Amino-2-hydroxybenzoic acid","Mesalamine","C<sub>7</sub>H<sub>7</sub>NO<sub>3</sub>","89-57-6",2090421,"153.136",,"281.0(5)",,,,,,,"sl H<sub>2</sub>O; i EtOH",
323,"3-Amino-4-hydroxybutanoic acid","γ-Hydroxy-β-aminobutyric acid","C<sub>4</sub>H<sub>9</sub>NO<sub>3</sub>","589-44-6",1721705,"119.119","pr",216,,,,,,,"vs H<sub>2</sub>O; sl EtOH, chl, eth, AcOEt",
324,"4-Amino-3-hydroxybutanoic acid, (±)-",,"C<sub>4</sub>H<sub>9</sub>NO<sub>3</sub>","924-49-2",1721708,"119.119","pr (w), cry (dil al)",218,,,,,,,"vs H<sub>2</sub>O",
325,"1-Amino-4-hydroxy-2-methoxy-9,10-anthracenedione",,"C<sub>15</sub>H<sub>11</sub>NO<sub>4</sub>","2379-90-0",2420171,"269.253",,,,,,,,,"sl chl",
326,"4-Amino-5-hydroxy-2,7-naphthalenedisulfonic acid","1-Naphthol-8-amino-3,6-disulfonic acid","C<sub>10</sub>H<sub>9</sub>NO<sub>7</sub>S<sub>2</sub>","90-20-0",2225829,"319.311",,,,,,,,,"sl H<sub>2</sub>O, EtOH, eth",
327,"4-Amino-3-hydroxy-1-naphthalenesulfonic acid","1-Amino-2-naphthol-4-sulfonic acid","C<sub>10</sub>H<sub>9</sub>NO<sub>4</sub>S","116-63-2",2697469,"239.248","gray nd",,,,,,,,"i H<sub>2</sub>O, EtOH, bz; s alk",
328,"2-Amino-4-hydroxypteridine",,"C<sub>6</sub>H<sub>5</sub>N<sub>5</sub>O","2236-60-4",150294,"163.137","ye cry",">360",,,,,,,,
329,"5-Amino-1<i>H</i>-imidazole-4-carboxamide",,"C<sub>4</sub>H<sub>6</sub>N<sub>4</sub>O","360-97-4",,"126.117","cry (EtOH)",170,,,,,,,,
330,"(Aminoiminomethyl)urea",,"C<sub>2</sub>H<sub>6</sub>N<sub>4</sub>O","141-83-3",1756618,"102.095","pr",105,"160 dec",,,,,,"s H<sub>2</sub>O, py; sl EtOH; i eth, bz, chl, CS<sub>2</sub>",
331,"2-Amino-5-iodobenzoic acid",,"C<sub>7</sub>H<sub>6</sub>INO<sub>2</sub>","5326-47-6",639029,"263.033",,"220 dec",,,,,,,"sl H<sub>2</sub>O, tfa; vs EtOH, eth, ace; s bz",
332,"4-Amino-1<i>H</i>-isoindole-1,3(2<i>H</i>)-dione",,"C<sub>8</sub>H<sub>6</sub>N<sub>2</sub>O<sub>2</sub>","2518-24-3",135779,"162.146",,"269.5",,,,,,,,
333,"4-Amino-3-isoxazolidinone, (<i>R</i>)-","Cycloserine","C<sub>3</sub>H<sub>6</sub>N<sub>2</sub>O<sub>2</sub>","68-41-7",80798,"102.092",,"155 dec",,,,,,,"s H<sub>2</sub>O; sl MeOH",
334,"1-Amino-2-methyl-9,10-anthracenedione","1-Amino-2-methylanthraquinone","C<sub>15</sub>H<sub>11</sub>NO<sub>2</sub>","82-28-0",650595,"237.254",,"205.5",,,,,,,"i H<sub>2</sub>O; s EtOH, bz, chl; sl eth",
335,"α-(Aminomethyl)benzenemethanol","Phenylethanolamine","C<sub>8</sub>H<sub>11</sub>NO","7568-93-6",971222,"137.179",,"56.5",,"160<sup>17</sup>",,,,,"vs H<sub>2</sub>O; s EtOH",
336,"β-(Aminomethyl)benzenepropanoic acid","4-Amino-3-phenylbutyric acid","C<sub>10</sub>H<sub>13</sub>NO<sub>2</sub>","1078-21-3",2804903,"179.216",,"252 dec",,,,,,,,
337,"2-Amino-5-methylbenzenesulfonic acid",,"C<sub>7</sub>H<sub>9</sub>NO<sub>3</sub>S","88-44-8",2211509,"187.216","lt ye nd","132 dec",,,,,,,"vs H<sub>2</sub>O",
338,"<i>trans</i>-4-(Aminomethyl)cyclohexanecarboxylic acid","Tranexamic acid","C<sub>8</sub>H<sub>15</sub>NO<sub>2</sub>","1197-18-8",,"157.211",,"249(4)",,,,,,,"vs H<sub>2</sub>O",
339,"4-Amino-4-methyl-2-pentanone","Diacetonamine","C<sub>6</sub>H<sub>13</sub>NO","625-04-7",635806,"115.173",,,,"25<sup>0.14</sup>",,,,,"s H<sub>2</sub>O; msc EtOH, eth",
340,"2-Amino-4-methylphenol",,"C<sub>7</sub>H<sub>9</sub>NO","95-84-1",606494,"123.152","cry (w), orth (bz), lf or nd",136,"subl",,,,,,"sl H<sub>2</sub>O, bz; s EtOH, eth, chl; i lig",
341,"4-Amino-2-methylphenol",,"C<sub>7</sub>H<sub>9</sub>NO","2835-96-3",2205841,"123.152","nd or lf (bz)","176.5","subl",,,,,,"sl H<sub>2</sub>O, bz; s EtOH, eth",
342,"4-Amino-3-methylphenol",,"C<sub>7</sub>H<sub>9</sub>NO","2835-99-6",2078803,"123.152","pr (dil al) cry (bz)",179,,,,,,,"sl H<sub>2</sub>O; vs EtOH, eth; s DMSO",
343,"2-Amino-1-methyl-6-phenylimidazo[4,5-<i>b</i>]pyridine","PhIP","C<sub>13</sub>H<sub>12</sub>N<sub>4</sub>","105650-23-5",,"224.261","solid",327,,,,,,,,
344,"(Aminomethyl)phosphonic acid",,"CH<sub>6</sub>NO<sub>3</sub>P","1066-51-9",,"111.038","cry",309,,,,,,,,
345,"2-Amino-2-methyl-1,3-propanediol",,"C<sub>4</sub>H<sub>11</sub>NO<sub>2</sub>","115-69-5",635708,"105.136",,"110.93(5)",,"151<sup>10</sup>",,,,,"vs H<sub>2</sub>O; s EtOH",
346,"2-Amino-2-methylpropanoic acid","2-Methylalanine","C<sub>4</sub>H<sub>9</sub>NO<sub>2</sub>","62-57-7",506496,"103.120","mcl pr",335,"280 subl",,,,"138<sup>25</sup>",,"vs H<sub>2</sub>O; sl EtOH; i eth",
347,"<small>L</small>-3-Amino-2-methylpropanoic acid",,"C<sub>4</sub>H<sub>9</sub>NO<sub>2</sub>","144-90-1",,"103.120","cry (w)",185,,,,,,,,
348,"2-Amino-2-methyl-1-propanol","2-Aminoisobutanol","C<sub>4</sub>H<sub>11</sub>NO","124-68-5",505979,"89.136",,"25.5","163.8(8)",,"0.934<sup>20</sup>","1.449<sup>20</sup>",,,"msc H<sub>2</sub>O; s ctc",
349,"3-(Aminomethyl)-3,5,5-trimethylcyclohexanol","1-Hydroxy-3-aminomethyl-3,5,5-trimethylcyclohexane","C<sub>10</sub>H<sub>21</sub>NO","15647-11-7",2827544,"171.280",,"45.5",265,,"0.969<sup>25</sup>","1.4904<sup>20</sup>",,,,
350,"3-Amino-2-naphthalenecarboxylic acid","3-Amino-2-naphthoic acid","C<sub>11</sub>H<sub>9</sub>NO<sub>2</sub>","5959-52-4",744099,"187.195","ye lf (dil al)","216.5",,,,,,,"s EtOH, eth",
351,"2-Amino-1,4-naphthalenedione",,"C<sub>10</sub>H<sub>7</sub>NO<sub>2</sub>","2348-81-4",2088736,"173.169",,207,,,,,,,"i H<sub>2</sub>O, alk; s EtOH, eth, HOAc",
352,"7-Amino-1,3-naphthalenedisulfonic acid","Amido-G-Acid","C<sub>10</sub>H<sub>9</sub>NO<sub>6</sub>S<sub>2</sub>","86-65-7",2669649,"303.311","mcl pr or nd (w+4)",274,,,,,,,"vs H<sub>2</sub>O, EtOH",
353,"2-Amino-1,5-naphthalenedisulfonic acid","2-Naphthylamine-1,5-disulfonic acid","C<sub>10</sub>H<sub>9</sub>NO<sub>6</sub>S<sub>2</sub>","117-62-4",2888645,"303.311",,">300",,,,,,,,
354,"4-Amino-1,6-naphthalenedisulfonic acid","1-Naphthylamine-4,7-disulfonic acid","C<sub>10</sub>H<sub>9</sub>NO<sub>6</sub>S<sub>2</sub>","85-75-6",3105430,"303.311",,,,,,,,,"vs H<sub>2</sub>O",
355,"4-Amino-1,7-naphthalenedisulfonic acid","1-Naphthylamine-4,6-disulfonic acid","C<sub>10</sub>H<sub>9</sub>NO<sub>6</sub>S<sub>2</sub>","85-74-5",2888641,"303.311",,,,,,,,,"vs H<sub>2</sub>O, EtOH",
356,"2-Amino-1-naphthalenesulfonic acid","2-Naphthylamine-1-sulfonic acid","C<sub>10</sub>H<sub>9</sub>NO<sub>3</sub>S","81-16-3",613084,"223.248","sc(hot w)",,,,,,,,"s DMSO",
357,"4-Amino-1-naphthalenesulfonic acid","1-Naphthylamine-4-sulfonic acid","C<sub>10</sub>H<sub>9</sub>NO<sub>3</sub>S","84-86-6",1971299,"223.248","wh nd (w+1/2) red-br cry","dec",,,"1.6703<sup>25</sup>",,,,"i H<sub>2</sub>O; sl EtOH; s MeOH, py",
358,"5-Amino-1-naphthalenesulfonic acid","1-Naphthylamine-5-sulfonic acid","C<sub>10</sub>H<sub>9</sub>NO<sub>3</sub>S","84-89-9",2214149,"223.248","wh cry",,,,,,,,"s H<sub>2</sub>O; i eth",
359,"6-Amino-1-naphthalenesulfonic acid","2-Naphthylamine-5-sulfonic acid","C<sub>10</sub>H<sub>9</sub>NO<sub>3</sub>S","81-05-0",2695332,"223.248","nd(w)",,,,,,,,"i H<sub>2</sub>O, EtOH, eth",
360,"7-Amino-1-naphthalenesulfonic acid","Badische acid","C<sub>10</sub>H<sub>9</sub>NO<sub>3</sub>S","86-60-2",2695330,"223.248","nd (w+1), pl (aq ace)",,,,,,,,"vs HOAc",
361,"8-Amino-1-naphthalenesulfonic acid","1-Naphthylamine-8-sulfonic acid","C<sub>10</sub>H<sub>9</sub>NO<sub>3</sub>S","82-75-7",983230,"223.248","nd",,,,,,,,"vs gl HOAc",
362,"6-Amino-2-naphthalenesulfonic acid","Bronner acid","C<sub>10</sub>H<sub>9</sub>NO<sub>3</sub>S","93-00-5",,"223.248","lf",,,,,,,,"i cold H<sub>2</sub>O; sl hot H<sub>2</sub>O",
363,"8-Amino-2-naphthalenesulfonic acid","1,7-Cleve's acid","C<sub>10</sub>H<sub>9</sub>NO<sub>3</sub>S","119-28-8",2115629,"223.248","nd or pr (w)",,,,,,,,"sl EtOH; s eth",
364,"5-Amino-1-naphthol","1-Amino-6-hydroxynaphthalene","C<sub>10</sub>H<sub>9</sub>NO","83-55-6",1239066,"159.184",,170,,,,,,,"sl DMSO",
365,"1-Amino-2-naphthol",,"C<sub>10</sub>H<sub>9</sub>NO","2834-92-6",509342,"159.184","silvery lf (bz, eth)","150 dec",,,,,,,"sl H<sub>2</sub>O, eth; s EtOH; vs dil alk, acid",
366,"8-Amino-2-naphthol","8-Amino-β-naphthol","C<sub>10</sub>H<sub>9</sub>NO","118-46-7",2207365,"159.184","nd (w, al)",206,"subl",,,,,,"s H<sub>2</sub>O, eth; vs EtOH; sl bz, lig",
367,"2-Amino-4-nitrobenzoic acid",,"C<sub>7</sub>H<sub>6</sub>N<sub>2</sub>O<sub>4</sub>","619-17-0",785071,"182.134","oran pr (dil al)",269,,,,,,,"i H<sub>2</sub>O; vs EtOH, eth, ace; s xyl",
368,"2-Amino-5-nitrobenzoic acid",,"C<sub>7</sub>H<sub>6</sub>N<sub>2</sub>O<sub>4</sub>","616-79-5",646219,"182.134","lf (al), ye nd (w, dil al)","278(5)",,,,,,,"i H<sub>2</sub>O, bz, chl, xyl; s EtOH, eth",
369,"2-Amino-5-nitrobenzonitrile",,"C<sub>7</sub>H<sub>5</sub>N<sub>3</sub>O<sub>2</sub>","17420-30-3",1425714,"163.134",,"203.5",,,,,,,"sl DMSO",
370,"3-Amino-1-nitroguanidine",,"CH<sub>5</sub>N<sub>5</sub>O<sub>2</sub>","18264-75-0",774794,"119.084",,"187.8",,,,,,,"sl H<sub>2</sub>O",
371,"2-Amino-4-nitrophenol",,"C<sub>6</sub>H<sub>6</sub>N<sub>2</sub>O<sub>3</sub>","99-57-0",776533,"154.123","oran pr (+w)",146,,,,,,,"sl H<sub>2</sub>O, ace; vs EtOH; s eth, bz, HOAc",
372,"2-Amino-5-nitrophenol",,"C<sub>6</sub>H<sub>6</sub>N<sub>2</sub>O<sub>3</sub>","121-88-0",972974,"154.123",,"205.8",,,,,,,"s H<sub>2</sub>O, EtOH, bz",
373,"4-Amino-2-nitrophenol",,"C<sub>6</sub>H<sub>6</sub>N<sub>2</sub>O<sub>3</sub>","119-34-6",1368435,"154.123","dk red pl or nd (w, al)",131,,"110<sup>12</sup>",,,,,"s H<sub>2</sub>O, EtOH, eth; sl DMSO",
374,"2-Aminooctanoic acid, (±)-",,"C<sub>8</sub>H<sub>17</sub>NO<sub>2</sub>","644-90-6",1722617,"159.227","lf (w)",270,"subl",,,,,,"sl H<sub>2</sub>O, EtOH, eth, bz; s HOAc",
375,"Aminooxoacetohydrazide","Semioxamazide","C<sub>2</sub>H<sub>5</sub>N<sub>3</sub>O<sub>2</sub>","515-96-8",1751846,"103.080",,"221 dec",,,,,,,"sl H<sub>2</sub>O; i EtOH, eth; vs alk, acid",
376,"<i>cis</i>-4-Amino-4-oxo-2-butenoic acid","Maleamic acid","C<sub>4</sub>H<sub>5</sub>NO<sub>3</sub>","557-24-4",1721339,"115.088","cry (al)","172.5",,,,,,,"vs H<sub>2</sub>O, EtOH",
377,"5-Amino-4-oxopentanoic acid","5-Aminolevulinic acid","C<sub>5</sub>H<sub>9</sub>NO<sub>3</sub>","106-60-5",,"131.130","cry (EtOH)",118,,,,,,,,
378,"(Aminooxy)acetic acid, hydrochloride (2:1)",,"C<sub>4</sub>H<sub>11</sub>ClN<sub>2</sub>O<sub>6</sub>","2921-14-4",,"218.592",,"152.5",,,,,,,,
379,"6-Aminopenicillanic acid","Penicin","C<sub>8</sub>H<sub>12</sub>N<sub>2</sub>O<sub>3</sub>S","551-16-6",,"216.257","cry (w)",208,,,,,,,,
380,"5-Aminopentanoic acid",,"C<sub>5</sub>H<sub>11</sub>NO<sub>2</sub>","660-88-8",906833,"117.147","lf (dil al)","157 dec","dec",,,,,,"s H<sub>2</sub>O; sl EtOH; i eth, bz, lig",
381,"5-Amino-1-pentanol",,"C<sub>5</sub>H<sub>13</sub>NO","2508-29-4",1732302,"103.163",,"38.5","221.5",,"0.9488<sup>17</sup>","1.4618<sup>17</sup>",,,"msc H<sub>2</sub>O, EtOH, ace",
382,"2-Aminophenol",,"C<sub>6</sub>H<sub>7</sub>NO","95-55-6",606075,"109.126","wh orth bipym nd (bz)","173.5(3)","267(19)",,"1.328<sup>25</sup>",,"19.6<sup>20</sup>",,"s H<sub>2</sub>O, eth; vs EtOH; sl bz, tfa",
383,"3-Aminophenol",,"C<sub>6</sub>H<sub>7</sub>NO","591-27-5",636059,"109.126","pr (to)","122.5(3)",,"164<sup>11</sup>",,,"26.3<sup>20</sup>",,"s H<sub>2</sub>O, tol; vs EtOH, eth; sl bz, DMSO",
384,"4-Aminophenol",,"C<sub>6</sub>H<sub>7</sub>NO","123-30-8",385836,"109.126","wh pl (w)","186(7)",,"110<sup>0.3</sup>",,,"15.7<sup>20</sup>",,"sl H<sub>2</sub>O, tfa; vs EtOH; i bz, chl; s alk",
385,"<i>N</i>-(3-Aminophenyl)acetamide",,"C<sub>8</sub>H<sub>10</sub>N<sub>2</sub>O","102-28-3",775952,"150.177","nd or pl (bz)",88,,,,,,,"vs H<sub>2</sub>O, EtOH, ace; sl eth, bz",
386,"<i>N</i>-(4-Aminophenyl)acetamide","<i>p</i>-Aminoacetanilide","C<sub>8</sub>H<sub>10</sub>N<sub>2</sub>O","122-80-5",742888,"150.177","nd (w)","166.5",267,,,,,,"s H<sub>2</sub>O; vs EtOH, eth",
387,"(4-Aminophenyl)arsonic acid","Arsanilic acid","C<sub>6</sub>H<sub>8</sub>AsNO<sub>3</sub>","98-50-0",1102334,"217.055","mcl nd (w, al)",232,,,"1.9571<sup>10</sup>",,,,"s H<sub>2</sub>O, eth; sl EtOH, DMSO; i ace, bz",
388,"<i>N</i>-(4-Aminophenyl)-1,4-benzenediamine","4,4'-Diaminodiphenylamine","C<sub>12</sub>H<sub>13</sub>N<sub>3</sub>","537-65-5",1961561,"199.251","lf (w)",158,"dec",,,,,,"vs eth, EtOH",
389,"2-Amino-1-phenylethanone","Phenacylamine","C<sub>8</sub>H<sub>9</sub>NO","613-89-8",507952,"135.163","ye cry",20,251,,,"1.6160<sup>20</sup>",,,"i H<sub>2</sub>O; s eth; sl ctc",
390,"1-(3-Aminophenyl)ethanone","<i>m</i>-Aminoacetophenone","C<sub>8</sub>H<sub>9</sub>NO","99-03-6",386009,"135.163","pa ye pl (al), lf (eth)","98.5","289.5",,,,,,"sl H<sub>2</sub>O; s EtOH",
391,"1-(4-Aminophenyl)ethanone","<i>p</i>-Aminoacetophenone","C<sub>8</sub>H<sub>9</sub>NO","99-92-3",471493,"135.163","ye mcl pr (al)","105(1)",294,"195<sup>15</sup>",,,,,"vs eth, EtOH",
392,"1-(4-Aminophenyl)-1-pentanone",,"C<sub>11</sub>H<sub>15</sub>NO","38237-74-0",2803365,"177.243","cry (bz-peth)","74.5",,"161<sup>3</sup>",,,,,"i H<sub>2</sub>O; s EtOH, eth",
393,"1-(4-Aminophenyl)-1-propanone","<i>p</i>-Aminopropiophenone","C<sub>9</sub>H<sub>11</sub>NO","70-69-9",2802691,"149.189","pl (al, w), nd (w)",140,,,,,,,"s DMSO",
394,"<i>N</i>-[(4-Aminophenyl)sulfonyl]acetamide","Sulfacetamide","C<sub>8</sub>H<sub>10</sub>N<sub>2</sub>O<sub>3</sub>S","144-80-9",981718,"214.241",,"182.0(4)",,,,,,,"sl H<sub>2</sub>O; s EtOH; i eth; vs ace, alk",
395,"5-[(4-Aminophenyl)sulfonyl]-2-thiazolamine","Thiazolsulfone","C<sub>9</sub>H<sub>9</sub>N<sub>3</sub>O<sub>2</sub>S<sub>2</sub>","473-30-3",225446,"255.316","nd (al)","220 dec",,,,,,,"vs ace, eth, EtOH, diox",
396,"4-Aminophthalimide","5-Amino-1<i>H</i>-isoindole-1,3(2<i>H</i>)-dione","C<sub>8</sub>H<sub>6</sub>N<sub>2</sub>O<sub>2</sub>","3676-85-5",,"162.146",,,,"224<sup>0.5</sup>",,,,,,
397,"3-Amino-1,2-propanediol, (±)-",,"C<sub>3</sub>H<sub>9</sub>NO<sub>2</sub>","13552-31-3",1719123,"91.109",,,"265 dec","145<sup>9</sup>","1.1752<sup>20</sup>","1.4910<sup>25</sup>",,,"s H<sub>2</sub>O, EtOH; i eth, bz",
398,"3-Aminopropanenitrile","3-Aminopropionitrile","C<sub>3</sub>H<sub>6</sub>N<sub>2</sub>","151-18-8",1698848,"70.093",,,185,"88<sup>20</sup>","0.9584<sup>20</sup>","1.4396<sup>20</sup>",,,,
399,"2-Amino-1-propanol, (±)-",,"C<sub>3</sub>H<sub>9</sub>NO","6168-72-5",1209234,"75.109",,,"174.5",,,"1.4502<sup>20</sup>",,,"vs H<sub>2</sub>O, EtOH, eth; sl chl",
400,"3-Amino-1-propanol","Propanolamine","C<sub>3</sub>H<sub>9</sub>NO","156-87-6",741855,"75.109","liq","12.1(10)","185(4)",,"0.9824<sup>26</sup>","1.4617<sup>20</sup>",,,"s H<sub>2</sub>O, EtOH, eth",
401,"1-Amino-2-propanol","Isopropanolamine","C<sub>3</sub>H<sub>9</sub>NO","1674-56-2",1718870,"75.109",,"1.7(2)","141(12)",,"0.9611<sup>20</sup>","1.4479<sup>20</sup>",,"0.165","msc H<sub>2</sub>O, EtOH, eth, ace, bz, ctc",
402,"α-(1-Aminopropyl)benzenemethanol","α-(α-Aminopropyl)benzyl alcohol","C<sub>10</sub>H<sub>15</sub>NO","5897-76-7",,"165.232","pl (bz-eth)","79.5",,,,,,,,
403,"<i>N</i>-(3-Aminopropyl)-<i>N</i>-methyl-1,3-propanediamine",,"C<sub>7</sub>H<sub>19</sub>N<sub>3</sub>","105-83-9",1737155,"145.246",,,"232(3)","112<sup>6</sup>","0.9023<sup>20</sup>","1.4705<sup>25</sup>",,,,
404,"Aminopropylon",,"C<sub>16</sub>H<sub>22</sub>N<sub>4</sub>O<sub>2</sub>","3690-04-8",38137,"302.372","pr (bz)",181,,,,,,,"vs H<sub>2</sub>O",
405,"4-(2-Aminopropyl)phenol, (±)-","Hydroxyamphetamine","C<sub>9</sub>H<sub>13</sub>NO","1518-86-1",3197507,"151.205","cry (bz)","125.5",,,,,,,"s H<sub>2</sub>O, EtOH, bz, chl, AcOEt",
406,"<i>N</i>-(3-Aminopropyl)-1,3-propanediamine","Bis(3-aminopropyl)amine","C<sub>6</sub>H<sub>17</sub>N<sub>3</sub>","56-18-8",1071254,"131.219",,"-5.1(3)",,"151<sup>50</sup>","0.938<sup>25</sup>","1.4810<sup>20</sup>",,,"s chl",
407,"Aminopterin",,"C<sub>19</sub>H<sub>20</sub>N<sub>8</sub>O<sub>5</sub>","54-62-6",,"440.413","ye cry","262 dec",,,,,,,,
408,"4-Amino-<i>N</i>-pyrazinylbenzenesulfonamide","Sulfapyrazine","C<sub>10</sub>H<sub>10</sub>N<sub>4</sub>O<sub>2</sub>S","116-44-9",235481,"250.277","nd (PhNO<sub>2</sub>)",251,,,,,,,"i H<sub>2</sub>O, EtOH, eth, bz, chl; s py; sl ace",
409,"3-Amino-1<i>H</i>-pyrazole-4-carbonitrile","3-Amino-4-cyanopyrazole","C<sub>4</sub>H<sub>4</sub>N<sub>4</sub>","16617-46-2",2647,"108.102","cry (w)",173,,,,,,,,
410,"2-Amino-3-pyridinecarboxylic acid",,"C<sub>6</sub>H<sub>6</sub>N<sub>2</sub>O<sub>2</sub>","5345-47-1",119031,"138.124",,"296 dec",,,,,,,"sl H<sub>2</sub>O",
411,"6-Amino-3-pyridinecarboxylic acid","6-Aminonicotinic acid","C<sub>6</sub>H<sub>6</sub>N<sub>2</sub>O<sub>2</sub>","3167-49-5",115992,"138.124","cry (dil HOAc, +2w)",312,,,,,,,,
412,"4-Amino-<i>N</i>-2-pyridinylbenzenesulfonamide","Sulfapyridine","C<sub>11</sub>H<sub>11</sub>N<sub>3</sub>O<sub>2</sub>S","144-83-2",222065,"249.289","ye oran (al)","190(2)",,,,,,,"i H<sub>2</sub>O, bz, ctc; s EtOH",
413,"5-Amino-2,4(1<i>H</i>,3<i>H</i>)-pyrimidinedione","5-Aminouracil","C<sub>4</sub>H<sub>5</sub>N<sub>3</sub>O<sub>2</sub>","932-52-5",127250,"127.102","nd (w)","dec",,,,,,,"i H<sub>2</sub>O; s alk, acid",
414,"6-Amino-2,4(1<i>H</i>,3<i>H</i>)-pyrimidinedione",,"C<sub>4</sub>H<sub>5</sub>N<sub>3</sub>O<sub>2</sub>","873-83-6",120491,"127.102","cry (w)","dec",,,,,,,"vs H<sub>2</sub>O",
415,"4-Amino-2(1<i>H</i>)-pyrimidinethione","2-Thiocytosine","C<sub>4</sub>H<sub>5</sub>N<sub>3</sub>S","333-49-3",112435,"127.168",,,,,,,,,"sl DMSO",
416,"5-Amino-2,4,6(1<i>H</i>,3<i>H</i>,5<i>H</i>)-pyrimidinetrione","Uramil","C<sub>4</sub>H<sub>5</sub>N<sub>3</sub>O<sub>3</sub>","118-78-5",6178,"143.101","nd or pl (w)",">400",,,,,,,"s H<sub>2</sub>O, chl; i eth, bz",
417,"4-Amino-<i>N</i>-2-pyrimidinylbenzenesulfonamide","Sulfadiazine","C<sub>10</sub>H<sub>10</sub>N<sub>4</sub>O<sub>2</sub>S","68-35-9",235192,"250.277","cry (w), wh pow","261(3)",,,,,,,"sl H<sub>2</sub>O, EtOH, ace, DMSO",
